constructorId,url,name,nationality
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
